Name,Description,Action,Uses,Chief Ingredient,Ingredients,Preparation,Dose
Qand safed,"It is a Persian word, which means Dawae Hazim (Digestive). It is an Indian
						origin drug. In Arabs, First Kindi introduced it. It is also called Jawarish
						Kindi. It is also called Majun Panjnosh /Fanjnosh due to its five
						ingredients. There are several prescriptions of this formulation in
						different Qarabadeen. This prescription is taken from Qarabadeen Shifai","Muqavvi Meda (Gastric tonic), Hazim (Digestive), NafeIs-hal (Beneficial in
						loose motion), Muqavvi Qalb (Cardiac tonic)","Zofe Meda (Weakness of Stomach), Sooe Hazm (Dyspepsia) and Khafqan
						(Palpitation)",Amla (Emblica officinalis Gaertin fruit),"Gule Surkh (Rosa damascena flower), 20 gm; Saad (Cyperus scariosus root), 18 gm; Asaroon (Valerina wallichil DC root), 10 gm; Mastagi (Pistacia lantiscus gum), 10 gm; Qaranfal (Caryophyllus aromatica bud), 10 gm; Sumbuluttib (Nardostachis jatamansi root), 10 gm; Bisbasa (Myristica fragrans fruit coat), 7 gm; Dana Heel Kalan (Amomum subulatum seed), 7 gm; Dana Heel Khurd (Elettaria cardamomum seed), 7 gm; Jaifal (Myristica fragrance fruit), 7 gm; Khurfa (Portulaca oleracea herb), 7 gm; Zafran (Crocus sativa gynacium), 7 gm; Zarnab (Taxus baccala Linn leaf), 7 gm; Amla Muqashsher (Emblica officinalis Gaertin seed less fruit), 500 gm; Qand safed (Sugar), 750 gm","Soak Amla(Emblica officinalis fruits) in milk for 24 hour and wash with
						water and boil in water well as it becomes soft. Mesh well the mass and
						filter it. Make Qiwam (Basic Solution of Particular consistency) of sugar in
						filtrate. Mix Powder of all other drugs",5-7 gm
Qand safed,"It is a Persian word, which means Dawae Hazim (Digestive). It is an Indian
						origin drug.In Arabs, First Kindi produced it. It is also called Jawarish
						Kindi. It is also called Majun Panjnosh due to its five ingredients. In this
						prescription some other drugs are included. This name is given due to
						addition of Lulu (Pearl)","Muqavvi Meda (Gastric tonic), Hazim (Digestive), Nafe Ishal (Beneficial in
						Diorrhoea), Muqavvi Qalb (Cardiac toni)","Zofe Meda (Weakness of Stomach),Sooe Hazm(Dyspepsia)and Khafqan(Palpitation)","Amla

						Emblica officinalis Gaertin fruit","Gule Surkh (Rosa damascena flower), 20 gm; Saad (Cyperus scariosus root), 18 gm; Asaroon (Valerina wallichil DC root), 10 gm; Mastagi (Pistacia lantiscus gum), 10 gm; Qaranfal (Caryophyllus aromatica bud), 10 gm; Sumbuluttib (Nardostachis jatamansi root), 10 gm; Bisbasa (Myristica fragrans fruit coat), 7 gm; Dana Heel Kalan (Amomum subulatum seed), 7 gm; Dana Heel Khurd (Elettaria cardamomum seed), 7 gm; Jaifal (Myristica fragrance fruit), 7 gm; Khurfa (Portulaca oleracea herb), 7 gm; Zafran (Crocus sativa gynacium), 7 gm; Zarnab (Taxus baccala Linn leaf), 7 gm; Amla Muqashsher (Emblica officinalis Gaertin seed less fruit), 500 gm; Marvareed (Mytilus margaritiferus pearl),  ; Kehruba (Vateria indica gum),  ; Busud (Corallium rubrum),  ; Yashb (Jade),  ; Yaqoot (Ruby),  ; Qand safed (Sugar), 750 gm","SoakAmla(Emblica officinalis Gaertin seed less fruit) in milk for 24 hour
						and wash with water and boil in water well as it become soft. Mesh well and
						separate the watery part with the help of sieve. Make Qiwam (Basic Solution
						of Particular consistency) of sugar in this watery part. Mix Powder of all
						other drugs","5-7
						gm"
Water,"Its name is due to its chief ingredient Brinjasif (Achillea millefolium
						herb)","Beneficial in Amraz Jiger (Liver ailments), Auram Ah-sha (inflammation of
						membranes) and Balghami Bukhar (Phlegmatic fevers)","Amraz Jiger (Liver ailments), Auram Ah-sha (inflammation of membranes) and
						Balghami Bukhar (Phlegmatic fevers)","Brinjasif

						Achillea millefolium herb","Brinjasif (Achillea millefolium herb), 100 gm; Shukai (Volutarella divertica herb), 100 gm; Badranjboya (Melissa parviflora herb), 100 gm; Badiyan (Foeniculum vulgare Mill seed), 100 gm; Maveez Munaqqa (Vitis vinifera seed less fruit), 100 gm; Aab Mako Sabz (Solanum nigrum Herb juice), 750 ml; Water (), 12 litres","Soak the drugs in water at night. In the morning obtain Aab Mako Sabz
						(Solanum nigrum Herb juice) and add in drug soaked in water. distill 6
						litres aqua","60-125
						ml"
Water,Its name is due to its chief ingredient Gazer (Daucus carota root),"Mufarreh (Refrigerant), Muqavvi Qalb (Cardiac tonic) and Muqavvi Dimagh
						(Brain tonic)","It is used in Zofe Dimagh (Brain insufficiency) and Zofe Aam (General
						debility)","Gazer

						Daucus carota root","Gazer (Daucus carota root),  ; Berg Gaozaban (Borage officinalis leaf), 20 gm; Gule Gaozaban (Borage officinalis flowers), 15 gm; Sandal safed (Santalum album wood), 18 gm; Behman safed (Centaurea behen root), 12 gm; Toodri Surkh (Cherianthus cheiri seed), 12 gm; Water (), 6 liter",Soak the drugs in water for 24 hours then distill 3 litre aqua,"60-120
						ml"
Water,Its name is due to its chief ingredient Tukhm Kasni (Cichorium intybus seed),"Musakkin Safra wa Dam (Blood and bile sedative), Nafe Suda Haar (Beneficial
						in Headache), Mohallil Auram (Resolvant), Musakkin Atash, (Thirst sedative)","Atash (Thirst), Warm Jiger (Hepatitis), Suda Haar (Headache)",Tukhme Kasni(Cichorium intybus seed),"Tukhme Kasni (Cichorium intybus seed), 250 gm; Water (), 5 litre",Soak drug in water for 24 hours then distill 2 litre aqua,"125
						ml"
Gosht Hulwan,"Its name is due to its chief ingredient Lehem (Meat), Mako (Solanum nigrum
						fruit) and Kasni (Cichorium intybus herb)",Mohallil Auram Shikam (Resolvant of inflammation of stomach),Liver and other abdominal disorder,"Gosht Hulwan (Milk feeding goat meal),Mako(Solanum nigrum fruit) Kasni
						(Cichorium intybus herb)","Aslussoos Muqashsher (Glycerrhiza glabra pealed root), 125 gm; Badiyan (Foeniculum vulgare Mill), 125 gm; Badranjboya (Melissa parviflora), 125 gm; Beikh Izkher (Cymbopogon jwarancusa root), 125 gm; Beikh Kibr (Capparis spinoso root), 125 gm; Brinjasif (Achillea millefolium herb), 125 gm; Gilo Sabz (Tinospora cordifolia fresh stem), 125 gm; Mako Khushk (Solanum nigrum fruit), 125 gm; Maveez Munaqqa (Vitis vinifera seed less fruit), 125 gm; Shukai (Volutarella divertica herb), 125 gm; Berg Gaozaban (Borage officinalis leaf), 60 gm; Gule Gaozaban (Borage officinalis flower), 60 gm; Water (), 20 litre; Aab Kasni (Cichorium intybus fresh herb juice), 2 litre; Aab Berg Gilo (Tinospora cordifolia leaf juice), 2 litre; Gosht Hulwan (Milk feeding goat meat), 4 kg","Soak the drugs in water for 24 hours, In the morning
						get Aab Kasni (Cichorium intybus herb juice), Aab Berg Gilo
						(Tinospora cordifolia leaf juice) and add these and Gosht Hulwan
						(Milk feeding goat meat) in soaked matter then distill 10 litre aqua","50-100
						ml"
Water,Its name is due to its chief action Musaffi Dam (Blood purifier),Musaffi Dam (Blood purifier),"Kharish (Scabies), Abscess, Atishak (Syphilis)",Nim(Melia azadarachta),"Berg Nim (Melia azadarachta leaf), 125 gm; Post Nim (Melia Azadirachta bark), 125 gm; Post Bakain (Melia Azadirach bark), 125 gm; Berg Bakain (Mellia Azadirachta leaf), 125 gm; Post Kachnal (Bouthenia recemosa bark), 125 gm; Post Molsiri (Mimusopes elengti bark), 125 gm; Doodhi Khurd (Leptadenia reticulata herb), 125 gm; Berg Bhangra (Anisomeles indica leaf), 125 gm; Berg Jawasa (Alhagi psuedalhaji leaf), 125 gm; Post Goolar (Ficus recemosa fruit), 125 gm; Berg Hina (Lawsonia alba leaf), 125 gm; Mundi ((Sphaeranthus indicum flower), 125 gm; Shahtra (Fumaria officinalis herb), 125 gm; Sarphoka (Galiga purpurea herb), 125 gm; Gule Neelofer (Nymphaea alba flower), 125 gm; Burada Sandal safed (Santalum album wood), 125 gm; Burada Sandal surkh (Pterocarpus santalinus wood), 125 gm; Burada Chob zard (Smilax china powder), 125 gm; Burada Sheesham (Dalbertgia sissoo wood powder), 125 gm; Water (),  litre","Soak the drugs in water for 24 hours, and then distill 12 litre aqua","125

						ml"
Goat Milk,Its name is due to its ingredient Milk and other Arqyat.,"Nafe Amraz Saudavi (Beneficial in Black bile diseases), Nafe Diq (Beneficial
						in TB), Muqavvi Qalb (Cardiac tonic), Musaffi Dam (Blood purifier)","Sil Diq (Tuberculosis), Zofe Qalb (Weakness of Heart)",Bakri Ka Doodh (Goat Milk),"Gule Neelofer (Nymphaea alba flower), 125 gm; Gule Beid Sada (Salix alba flower), 125 gm; Berg Kahu Sabz (Lactuca sativa Linn Fresh leaf), 50 gm; Kadu Daraz (Laginaria siceraria fruit), 50 gm; Khurfa (Portulaca oleracea herb), 30 gm; Gule Gaozaban (Borage officinalis flower), 20 gm; Gule Surkh (Rosa damascena flower), 20 gm; Kashneez (Coriandrum sativum fruit), 20 gm; Maghz Tukhme Kadu Sheereen (Laginaria siceraria seed kernel), 20 gm; Maghz Tukhm Khayaren (Cucumis sativa and Cucumis melo Linn),  ; var (utilissimus seed kernel), 20 gm; Tukhme Kahu (Lactuca sativa Linn seed), 20 gm; Tukhme Kasni (Cichorium intybus seed), 10 gm; Tabasheer (Bambusa arundinasia dried secretion on node), 10 gm; Burada Sandal safed (Santalum album wood powder), 5 gm; Burada Sandal surkh (Pterocarpus santalinus wood powder), 5 gm; Anar Sheereen (Punica granatum Linn sweet fruit), 2 number; Seb Sheereen (Pyrus malus sweet fruit), 2 number; Khayar (Cucumis sativus fruit), 1 number; Behi (Cydonia quincy fruit), 1 number; Nashpati (Pyrus serotina fruit), 1 number; Arq Mako (), 4 litre; Arq Neelofer (), 4 litre; Arq Beid Mishk (), 1 litre; Goat Milk (), 10 litre",Mix all the drugs and leave them for 24 hour then distill 7 litre aqua.,50-100ml
Asl,"Its name is due to its Ingredient Kurkum, which is called Zafran (Crocus
						sativa)",,,"Zafran

						Crocus sativa gynacium","Zafran (Crocus sativa gynacium), 35 gm; Sumbuluttib (Nardostachis jatamansi root), 20 gm; Asaroon (Valerina wallichil DC root), 15 gm; Anisoon (Pimpinella anisum seed), 15 gm; Tukhme Karafs (Apium graveolence seed), 15 gm; Revand (Rheum palmatum root), 15 gm; Dooqu (Peucendanum grande root), 15 gm; Mur (Commiphora myrrh gum), 15 gm; Rubbussoos (Glycyrrhiza glabra extract), 10 gm; Taj Qalmi (Cinnamomum cassia bark), 10 gm; Mastagi (Pistacia lantiscus gum), 10 gm; Gule Ghafis (Agrimonia eupatoria flower), 10 gm; Favvah (Rubia cordifolia root), 5 gm; Qust Sheereen (Sassurea lappa root), 3 gm; Dar Chini (Cinnamomum zeylanicum bark), 3 gm; Shagofa Izkher (Cymbopogon jwarancusa flower), 3 gm; Habbe Balsan (Balsamodendron opobalsamum fruit), 3 gm; Roghan Balsan (Balsamodendron opobalsamum oil), 15 ml; Asl (Honey), 3 times of all drugs","Make the powder of all drugs. Make Qiwam (Basic Solution of Particular
						consistency) of Asl (Honey). Mix powder and Roghan (Oil) in Qiwam (Basic
						Solution of Particular consistency) of Asl (Honey)","5-7gm with Arq Gaozaban
						ml , Sherbat Deenar
						25
						ml"
Asl,Its name is due to its Ingredient Kurkum (Crocus sativa gynacium),,,"Zafran

						Crocus sativa gynacium","Zafran (Crocus sativa gynacium), 10 gm; Sumbuluttib (Nardostachis jatamansi root), 10 gm; Taj Qalmi (Cinnamomum cassia bark), 10 gm; Shagofa Izkher (Cymbopogon jwarancusa flower), 5 gm; Mur (Commiphora myrrh gum), 5 gm; Qust Sheereen (Sassurea lappa root), 5 gm; Dar Chini (Cinnamomum zeylanicum bark), 5 gm; Sharab Angoor (Grape Wine), as needed ; Asl (Honey), 3 times of all drugs","Make the powder of all drugs. Soak of all drugs in Sharab Angoor (Grape
						Wine) for 24 hours. Make Qiwam (Basic Solution of Particular consistency) of
						Asl (Honey). Mix soaked powder in Qiwam (Basic Solution of Particular
						consistency) of Asl (Honey)","5-7gmwith Arq Gaozaban
						125
						ml and Sherbat Deenar or water"
